資料日期,股票代號,股票名稱,本週餘額,上週餘額,增減數額,增減比率,發行比率
1090529,00872B,凱基美債1-3,5110,5110,0,0.00,100.00
1090529,00873B,凱基新興債1-5,1877,2377,-500,-21.03,100.00
1090529,00874B,凱基BBB公司債15+,16290,16290,0,0.00,100.00
1090529,020001,富邦存股雙十N,40000,40000,0,0.00,100.00
1090529,020003,統一漲升股利150N,20000,20000,0,0.00,100.00
1090529,020009,群益A50綠碳N,10000,10000,0,0.00,100.00
1090529,020010,永昌富櫃200N,20000,20000,0,0.00,100.00
1090529,020013,元富亞洲高股息N,20000,20000,0,0.00,100.00
1090529,020014,元大富櫃200N,60000,60000,0,0.00,100.00
1090529,1240  ,茂生農經,33990,33990,0,0.00,100.00
1090529,1258  ,其祥-KY,36819,36819,0,0.00,100.00
1090529,12582 ,其祥二KY,2999,2999,0,0.00,99.96
1090529,1259  ,安心,32389,32389,0,0.00,100.00
1090529,1264  ,德麥,33695,33695,0,0.00,100.00
1090529,1268  ,漢來美食,37723,37723,0,0.00,100.00
1090529,13163 ,上曜三,4556,4556,0,0.00,91.12
1090529,1333  ,恩得利,51060,51060,0,0.00,100.00
1090529,1336  ,台翰,77098,77098,0,0.00,100.00
1090529,14361 ,華友聯一,3000,3000,0,0.00,100.00
1090529,14423 ,名軒三,6389,6389,0,0.00,79.86
1090529,14721 ,三洋紡一,2889,2889,0,0.00,96.30
1090529,15131 ,中興電一,15000,15000,0,0.00,100.00
1090529,1565  ,精華,50416,50416,0,0.00,100.00
1090529,1569  ,濱川,113443,113443,0,0.00,100.00
1090529,15696 ,濱川六,1832,1832,0,0.00,91.60
1090529,1570  ,力肯,51500,51500,0,0.00,100.00
1090529,1580  ,新麥,50230,50230,0,0.00,100.00
1090529,1584  ,精剛,82470,82470,0,0.00,100.00
1090529,1586  ,和勤,80151,80151,0,0.00,100.00
1090529,15892 ,永冠二KY,64,64,0,0.00,0.25
1090529,1591  ,駿吉-KY,33164,33164,0,0.00,100.00
1090529,15921 ,英瑞一KY,2000,2000,0,0.00,100.00
1090529,1593  ,祺驊,31948,31948,0,0.00,100.00
1090529,1595  ,川寶,47148,47148,0,0.00,100.00
1090529,1597  ,直得,81187,81187,0,0.00,100.00
1090529,15981 ,岱宇一,4956,5985,-1029,-17.19,82.60
1090529,1599  ,宏佳騰,73458,73458,0,0.00,100.00
1090529,16262 ,艾美特二KY,4432,4432,0,0.00,88.64
1090529,16263 ,艾美特三KY,3000,3000,0,0.00,100.00
1090529,17333 ,五鼎三,3918,3918,0,0.00,97.95
1090529,1742  ,台蠟,41461,41461,0,0.00,100.00
1090529,1752  ,南光,100988,100988,0,0.00,100.00
1090529,1777  ,生泰,30059,30059,0,0.00,100.00
1090529,1781  ,合世,47407,47407,0,0.00,100.00
1090529,1784  ,訊聯,49626,49626,0,0.00,100.00
1090529,1785  ,光洋科,397431,397431,0,0.00,100.00
1090529,17861 ,科妍一,3000,3000,0,0.00,100.00
1090529,1788  ,杏昌,36000,36000,0,0.00,100.00
1090529,17881 ,杏昌一,4200,4200,0,0.00,100.00
1090529,1796  ,金穎生技,27893,27893,0,0.00,100.00
1090529,17961 ,金穎生技一,3000,3000,0,0.00,100.00
1090529,1799  ,易威,57517,57517,0,0.00,100.00
1090529,1813  ,寶利徠,46635,46635,0,0.00,100.00
1090529,1815  ,富喬,422946,422946,0,0.00,100.00
1090529,18155 ,富喬五,6000,6000,0,0.00,100.00
1090529,20067 ,東和鋼鐵七,20000,20000,0,0.00,100.00
1090529,20315 ,新光鋼五,4398,4398,0,0.00,73.30
1090529,2035  ,唐榮,350000,350000,0,0.00,100.00
1090529,2061  ,風青,58660,58660,0,0.00,100.00
1090529,2063  ,世鎧,45000,45000,0,0.00,100.00
1090529,20631 ,世鎧一,3000,3000,0,0.00,100.00
1090529,2064  ,晉椿,69630,69630,0,0.00,100.00
1090529,2065  ,世豐,32919,32919,0,0.00,100.00
1090529,20651 ,世豐一,3888,3888,0,0.00,97.20
1090529,2066  ,世德,36502,36502,0,0.00,100.00
1090529,2067  ,嘉鋼,45138,45138,0,0.00,100.00
1090529,20693 ,運錩三,3998,3998,0,0.00,99.95
1090529,2070  ,精湛,35782,35782,0,0.00,100.00
1090529,22081 ,台船一,20000,20000,0,0.00,100.00
1090529,2221  ,大甲,42325,42325,0,0.00,100.00
1090529,2230  ,泰茂,39913,39913,0,0.00,100.00
1090529,2235  ,謚源,35878,35878,0,0.00,100.00
1090529,22392 ,英利二KY,4000,4000,0,0.00,100.00
1090529,22431 ,宏旭一KY,3589,3589,0,0.00,89.72
1090529,233201,友訊Ｅ１,2953,2953,0,0.00,24.60
1090529,23834 ,台光電四,14254,14254,0,0.00,95.02
1090529,24064 ,國碩四,12000,12000,0,0.00,100.00
1090529,24392 ,美律二,22895,22895,0,0.00,76.31
1090529,24564 ,奇力新四,4,4,0,0.00,0.02
1090529,24565 ,奇力新五,1422,1422,0,0.00,10.15
1090529,24566 ,奇力新六,13579,13579,0,0.00,67.89
1090529,24663 ,冠西三,3000,3000,0,0.00,100.00
1090529,24722 ,立隆電二,6000,6000,0,0.00,100.00
1090529,24921 ,華新科一,48000,48000,0,0.00,100.00
1090529,25282 ,皇普二,7000,7000,0,0.00,100.00
1090529,25355 ,達欣工五,3155,3155,0,0.00,31.55
1090529,25391 ,櫻花建一,2000,2000,0,0.00,100.00
1090529,25392 ,櫻花建二,1497,1497,0,0.00,51.26
1090529,25425 ,興富發五,99999,99999,0,0.00,99.99
1090529,2596  ,綠意,100000,100000,0,0.00,100.00
1090529,26095 ,陽明五,76000,76000,0,0.00,100.00
1090529,26106 ,華航六,60000,60000,0,0.00,100.00
1090529,26183 ,長榮航三,65489,65489,0,0.00,93.55
1090529,26301 ,亞航一,2000,2000,0,0.00,100.00
1090529,26302 ,亞航二,3000,3000,0,0.00,100.00
1090529,26372 ,慧洋二KY,3972,3972,0,0.00,99.30
1090529,26373 ,慧洋三KY,1010,1010,0,0.00,12.62
1090529,2640  ,大車隊,53755,53755,0,0.00,100.00
1090529,2641  ,正德,151124,151124,0,0.00,100.00
1090529,26413 ,正德三,2500,2500,0,0.00,100.00
1090529,26414 ,正德四,1408,1408,0,0.00,46.93
1090529,2643  ,捷迅,30000,30000,0,0.00,100.00
1090529,27072 ,晶華二,13828,13828,0,0.00,92.18
1090529,2718  ,晶悅,42576,42576,0,0.00,100.00
1090529,2719  ,燦星旅,18272,18272,0,0.00,100.00
1090529,2724  ,富驛-KY,38172,38172,0,0.00,100.00
1090529,2726  ,雅茗-KY,34908,34908,0,0.00,100.00
1090529,2729  ,瓦城,23266,23266,0,0.00,100.00
1090529,27291 ,瓦城一,8000,8000,0,0.00,100.00
1090529,2732  ,六角,40642,40642,0,0.00,100.00
1090529,27322 ,六角二,3327,3327,0,0.00,73.93
1090529,2734  ,易飛網,30259,30259,0,0.00,100.00
1090529,2736  ,高野,48992,48992,0,0.00,100.00
1090529,2740  ,天蔥,8613,8613,0,0.00,100.00
1090529,2743  ,山富,32031,32031,0,0.00,100.00
1090529,2745  ,五福,29308,29308,0,0.00,100.00
1090529,27481 ,雲品一,8000,8000,0,0.00,100.00
1090529,2752  ,豆府,21872,21872,0,0.00,100.00
1090529,28885 ,新光金四,15039,15039,0,0.00,37.59
1090529,28886 ,新光金五,50000,50000,0,0.00,100.00
1090529,2916  ,滿心,54626,54626,0,0.00,100.00
1090529,2924  ,東凌-KY,32805,32805,0,0.00,100.00
1090529,2926  ,誠品生活,47389,47389,0,0.00,100.00
1090529,2928  ,紅馬-KY,47301,47301,0,0.00,100.00
1090529,2937  ,集雅社,32860,32860,0,0.00,100.00
1090529,30163 ,嘉晶三,6000,6000,0,0.00,100.00
1090529,30183 ,同開三,892,892,0,0.00,44.60
1090529,30366 ,文曄六,6700,7131,-431,-6.04,55.83
1090529,30453 ,台灣大三,9283,9283,0,0.00,9.28
1090529,3064  ,泰偉,72105,72105,0,0.00,100.00
1090529,3066  ,李洲,77570,77570,0,0.00,100.00
1090529,3067  ,全域,29025,29025,0,0.00,100.00
1090529,3071  ,協禧,110000,110000,0,0.00,100.00
1090529,3073  ,凱柏,12596,12596,0,0.00,100.00
1090529,3078  ,僑威,227391,227391,0,0.00,100.00
1090529,3081  ,聯亞,90932,90932,0,0.00,100.00
1090529,3083  ,網龍,85704,85704,0,0.00,100.00
1090529,3085  ,新零售,49004,49004,0,0.00,100.00
1090529,3086  ,華義,6836,6836,0,0.00,100.00
1090529,3088  ,艾訊,82041,82041,0,0.00,100.00
1090529,30881 ,艾訊一,3131,3131,0,0.00,74.54
1090529,3089  ,元炬,29620,29620,0,0.00,100.00
1090529,3092  ,鴻碩,74562,74562,0,0.00,100.00
1090529,3093  ,港建,36288,36288,0,0.00,100.00
1090529,3095  ,及成,90060,90060,0,0.00,100.00
1090529,3105  ,穩懋,404056,404056,0,0.00,100.00
1090529,3114  ,好德,56000,56000,0,0.00,100.00
1090529,3115  ,寶島極,20697,20697,0,0.00,100.00
1090529,3118  ,進階,32452,32452,0,0.00,100.00
1090529,3122  ,笙泉,38299,38299,0,0.00,100.00
1090529,3128  ,昇銳,42000,42000,0,0.00,100.00
1090529,3131  ,弘塑,29216,29216,0,0.00,100.00
1090529,3141  ,晶宏,63917,63917,0,0.00,100.00
1090529,3144  ,新揚科,100637,100637,0,0.00,100.00
1090529,3147  ,大綜,34006,34006,0,0.00,100.00
1090529,3152  ,璟德,69016,69016,0,0.00,100.00
1090529,3162  ,精確,56531,56531,0,0.00,100.00
1090529,3163  ,波若威,75286,75286,0,0.00,100.00
1090529,3169  ,亞信,54440,54440,0,0.00,100.00
1090529,3171  ,新洲,39203,39203,0,0.00,100.00
1090529,3176  ,基亞,138985,138985,0,0.00,100.00
1090529,3178  ,公準,45050,45050,0,0.00,100.00
1090529,3188  ,鑫龍騰,120295,120295,0,0.00,100.00
1090529,31881 ,鑫龍騰一,3000,3000,0,0.00,100.00
1090529,3191  ,和進,54694,54694,0,0.00,100.00
1090529,3202  ,樺晟,117164,117164,0,0.00,100.00
1090529,3205  ,佰研,32772,32772,0,0.00,100.00
1090529,3206  ,志豐,53916,53916,0,0.00,100.00
1090529,3207  ,耀勝,39520,39520,0,0.00,100.00
1090529,32093 ,全科三,1607,1607,0,0.00,53.56
1090529,3211  ,順達科,147480,147480,0,0.00,100.00
1090529,3213  ,茂訊,58685,58685,0,0.00,100.00
1090529,3217  ,優群,82104,82104,0,0.00,100.00
1090529,3218  ,大學光,76123,76123,0,0.00,100.00
1090529,3219  ,倚強,10723,10723,0,0.00,100.00
1090529,3221  ,台嘉碩,96322,96322,0,0.00,100.00
1090529,3224  ,三顧,58016,58016,0,0.00,100.00
1090529,32243 ,三顧三,1500,1500,0,0.00,100.00
1090529,3226  ,至寶電,64430,64430,0,0.00,100.00
1090529,3227  ,原相,139396,139396,0,0.00,100.00
1090529,3228  ,金麗科,62758,62758,0,0.00,100.00
1090529,3230  ,錦明,107746,107746,0,0.00,100.00
1090529,3232  ,昱捷,36567,36567,0,0.00,100.00
1090529,3234  ,光環,75988,75988,0,0.00,100.00
1090529,3236  ,千如,84852,84852,0,0.00,100.00
1090529,3252  ,海灣,50195,50195,0,0.00,100.00
1090529,3259  ,鑫創,67633,67633,0,0.00,100.00
1090529,3260  ,威剛,227518,227518,0,0.00,100.00
1090529,32606 ,威剛六,10932,10932,0,0.00,72.88
1090529,3264  ,欣銓,490259,490259,0,0.00,100.00
1090529,3265  ,台星科,136261,136261,0,0.00,100.00
1090529,3268  ,海德威,33426,33426,0,0.00,100.00
1090529,3272  ,東碩,52264,52264,0,0.00,100.00
1090529,32722 ,東碩二,4000,4000,0,0.00,100.00
1090529,3276  ,宇環,69712,69712,0,0.00,100.00
1090529,3284  ,太普高,55961,55961,0,0.00,100.00
1090529,3285  ,微端,44109,44109,0,0.00,100.00
1090529,3287  ,廣寰科,43970,43970,0,0.00,100.00
1090529,3288  ,點晶,19390,19390,0,0.00,100.00
1090529,3289  ,宜特,92975,92975,0,0.00,100.00
1090529,32895 ,宜特五,14551,14551,0,0.00,97.00
1090529,3290  ,東浦,99548,99548,0,0.00,100.00
1090529,3293  ,鈊象,70450,70450,0,0.00,100.00
1090529,3294  ,英濟,132015,132015,0,0.00,100.00
1090529,3297  ,杭特,36839,36839,0,0.00,100.00
1090529,3303  ,岱稜,96089,96089,0,0.00,100.00
1090529,3306  ,鼎天,50607,50607,0,0.00,100.00
1090529,3310  ,佳穎,50225,50225,0,0.00,100.00
1090529,3313  ,斐成,60390,60390,0,0.00,100.00
1090529,3317  ,尼克森,61251,61251,0,0.00,100.00
1090529,3322  ,建舜電,96651,96651,0,0.00,100.00
1090529,3323  ,加百裕,83305,83305,0,0.00,100.00
1090529,3324  ,雙鴻,86545,86545,0,0.00,100.00
1090529,33243 ,雙鴻三,2385,2385,0,0.00,39.75
1090529,3325  ,旭品,72252,72252,0,0.00,100.00
1090529,3332  ,幸康,48104,48104,0,0.00,100.00
1090529,33382 ,泰碩二,2481,2481,0,0.00,82.70
1090529,3339  ,泰谷,61943,61943,0,0.00,100.00
1090529,33461 ,麗清一,63,63,0,0.00,0.90
1090529,33462 ,麗清二,3500,3500,0,0.00,100.00
1090529,3354  ,律勝,70112,70112,0,0.00,100.00
1090529,3360  ,尚立,68831,68831,0,0.00,100.00
1090529,3362  ,先進光,111545,111545,0,0.00,100.00
1090529,3363  ,上詮,90595,90595,0,0.00,100.00
1090529,33632 ,上詮二,493,493,0,0.00,12.32
1090529,3372  ,典範,146087,146087,0,0.00,100.00
1090529,3373  ,熱映,43289,43289,0,0.00,100.00
1090529,3374  ,精材,271364,271364,0,0.00,100.00
1090529,3379  ,彬台,38041,38041,0,0.00,100.00
1090529,3388  ,崇越電,74061,74061,0,0.00,100.00
1090529,3390  ,旭軟,67505,67505,0,0.00,100.00
1090529,3402  ,漢科,73047,73047,0,0.00,100.00
1090529,34131 ,京鼎一,10000,10000,0,0.00,100.00
1090529,3426  ,台興,26400,26400,0,0.00,100.00
1090529,3434  ,哲固,22700,22700,0,0.00,100.00
1090529,3438  ,類比科,67379,67379,0,0.00,100.00
1090529,3441  ,聯一光,40039,40039,0,0.00,100.00
1090529,3444  ,利機,39114,39114,0,0.00,100.00
1090529,3455  ,由田,61468,61468,0,0.00,100.00
1090529,3465  ,進泰電子,9660,9660,0,0.00,100.00
1090529,3466  ,致振,60887,60887,0,0.00,100.00
1090529,3479  ,安勤,70194,70194,0,0.00,100.00
1090529,3483  ,力致,61027,61027,0,0.00,100.00
1090529,34832 ,力致二,2000,2000,0,0.00,100.00
1090529,3484  ,崧騰,69736,69736,0,0.00,100.00
1090529,3489  ,森寶,83130,83130,0,0.00,100.00
1090529,3490  ,單井,57006,57006,0,0.00,100.00
1090529,3491  ,昇達科,60863,60863,0,0.00,100.00
1090529,3492  ,長盛,35531,35531,0,0.00,100.00
1090529,3498  ,陽程,54373,54373,0,0.00,100.00
1090529,3499  ,環天科,54970,54970,0,0.00,100.00
1090529,3508  ,位速,97267,97267,0,0.00,100.00
1090529,3511  ,矽瑪,49972,49972,0,0.00,100.00
1090529,3512  ,皇龍,44000,44000,0,0.00,100.00
1090529,3516  ,亞帝歐,50590,50590,0,0.00,100.00
1090529,3520  ,振維,26900,26900,0,0.00,100.00
1090529,3521  ,鴻翊,31730,31730,0,0.00,100.00
1090529,3522  ,御頂,46900,46900,0,0.00,100.00
1090529,3523  ,迎輝,48049,48049,0,0.00,100.00
1090529,3526  ,凡甲,72047,72047,0,0.00,100.00
1090529,35264 ,凡甲四,6000,6000,0,0.00,100.00
1090529,3527  ,聚積,40945,40945,0,0.00,100.00
1090529,3529  ,力旺,75833,75833,0,0.00,100.00
1090529,3531  ,先益,61175,61175,0,0.00,100.00
1090529,3537  ,堡達,48695,48695,0,0.00,100.00
1090529,3540  ,曜越,66613,66613,0,0.00,100.00
1090529,3541  ,西柏,49321,49321,0,0.00,100.00
1090529,3546  ,宇峻,41747,41747,0,0.00,100.00
1090529,3548  ,兆利,60121,60121,0,0.00,100.00
1090529,3551  ,世禾,56774,56774,0,0.00,100.00
1090529,3552  ,同致,85592,85592,0,0.00,100.00
1090529,3555  ,重鵬,19311,19311,0,0.00,100.00
1090529,3556  ,禾瑞亞,59468,59468,0,0.00,100.00
1090529,3558  ,神準,49060,49060,0,0.00,100.00
1090529,3564  ,其陽,23123,23123,0,0.00,100.00
1090529,3567  ,逸昌,34127,34127,0,0.00,100.00
1090529,3570  ,大塚,17097,17097,0,0.00,100.00
1090529,3577  ,泓格,52864,52864,0,0.00,100.00
1090529,3580  ,友威科,39470,39470,0,0.00,100.00
1090529,3581  ,博磊,51006,51006,0,0.00,100.00
1090529,3587  ,閎康,62313,62313,0,0.00,100.00
1090529,3594  ,磐儀,57733,57733,0,0.00,100.00
1090529,35942 ,磐儀二,1173,1173,0,0.00,58.65
1090529,35943 ,磐儀三,3000,3000,0,0.00,100.00
1090529,35961 ,智易一,10000,10000,0,0.00,100.00
1090529,3597  ,映興,35146,35146,0,0.00,100.00
1090529,3609  ,東林,30679,30679,0,0.00,100.00
1090529,3611  ,鼎翰,42476,42476,0,0.00,100.00
1090529,3615  ,安可,68466,68466,0,0.00,100.00
1090529,36171 ,碩天一,12000,12000,0,0.00,100.00
1090529,3623  ,富晶通,29209,29263,-54,-0.18,99.81
1090529,3624  ,光頡,117340,117340,0,0.00,100.00
1090529,3625  ,西勝,78296,78296,0,0.00,100.00
1090529,36252 ,西勝二,52,948,-896,-94.51,1.30
1090529,3628  ,盈正,45000,45000,0,0.00,100.00
1090529,3629  ,地心引力,7434,7434,0,0.00,100.00
1090529,3630  ,新鉅科,127904,128040,-136,-0.10,100.00
1090529,3631  ,晟楠,79920,79920,0,0.00,100.00
1090529,3632  ,研勤,58089,58089,0,0.00,100.00
1090529,3642  ,駿熠電,30368,30368,0,0.00,100.00
1090529,3646  ,艾恩特,39297,39297,0,0.00,100.00
1090529,3652  ,精聯,47097,47097,0,0.00,100.00
1090529,3663  ,鑫科,58956,58956,0,0.00,100.00
1090529,3664  ,安瑞-KY,51098,51098,0,0.00,100.00
1090529,3666  ,光耀,48299,48299,0,0.00,100.00
1090529,3672  ,康聯訊,32668,32668,0,0.00,100.00
1090529,3675  ,德微,44428,44428,0,0.00,100.00
1090529,3680  ,家登,74060,74060,0,0.00,100.00
1090529,36802 ,家登二,2505,3000,-495,-16.50,83.50
1090529,3684  ,榮昌,24591,24591,0,0.00,100.00
1090529,3685  ,元創精密,79990,79990,0,0.00,100.00
1090529,3687  ,歐買尬,30059,30059,0,0.00,100.00
1090529,3689  ,湧德,69675,69675,0,0.00,100.00
1090529,36892 ,湧德二,2913,2913,0,0.00,97.10
1090529,3691  ,碩禾,60989,60989,0,0.00,100.00
1090529,36912 ,碩禾二,18739,18739,0,0.00,93.69
1090529,3693  ,營邦,38490,38490,0,0.00,100.00
1090529,3707  ,漢磊,296036,296036,0,0.00,100.00
1090529,37072 ,漢磊二,4515,4515,0,0.00,60.20
1090529,3709  ,鑫聯大投控,79569,79569,0,0.00,100.00
1090529,3710  ,連展投控,207290,207290,0,0.00,100.00
1090529,37101 ,連展投控一,3000,3000,0,0.00,100.00
1090529,3713  ,新晶投控,72590,72590,0,0.00,100.00
1090529,4102  ,永日,42373,42373,0,0.00,100.00
1090529,4105  ,東洋,248649,248649,0,0.00,100.00
1090529,4107  ,邦特,69298,69298,0,0.00,100.00
1090529,4109  ,加捷生醫,67134,67134,0,0.00,100.00
1090529,4111  ,濟生,56982,56982,0,0.00,100.00
1090529,4113  ,聯上,211138,211138,0,0.00,100.00
1090529,4114  ,健喬,244168,244168,0,0.00,100.00
1090529,4116  ,明基醫,44566,44566,0,0.00,100.00
1090529,4120  ,友華,86747,86747,0,0.00,100.00
1090529,4121  ,優盛,73316,73316,0,0.00,100.00
1090529,4123  ,晟德,392272,392272,0,0.00,100.00
1090529,41233 ,晟德三,7273,7273,0,0.00,21.39
1090529,4126  ,太醫,66015,66015,0,0.00,100.00
1090529,4127  ,天良,45760,45760,0,0.00,100.00
1090529,4128  ,中天,425342,425342,0,0.00,100.00
1090529,4129  ,聯合,80420,80420,0,0.00,100.00
1090529,41292 ,聯合二,4000,4000,0,0.00,100.00
1090529,41293 ,聯合三,5000,5000,0,0.00,100.00
1090529,4130  ,健亞,105814,105814,0,0.00,100.00
1090529,4131  ,晶宇,27983,27983,0,0.00,100.00
1090529,4138  ,曜亞,30000,30000,0,0.00,100.00
1090529,4139  ,馬光-KY,41962,41962,0,0.00,100.00
1090529,41412 ,龍燈二KY,160,160,0,0.00,5.33
1090529,41414 ,龍燈四KY,3000,3000,0,0.00,100.00
1090529,41415 ,龍燈五KY,2991,2991,0,0.00,99.70
1090529,41421 ,國光一,1857,1857,0,0.00,30.95
1090529,41422 ,國光二,2588,2588,0,0.00,28.75
1090529,4147  ,中裕,252198,252198,0,0.00,100.00
1090529,4152  ,台微體,69477,69477,0,0.00,100.00
1090529,4153  ,鈺緯,49366,49366,0,0.00,100.00
1090529,4154  ,康樂-KY,19526,19526,0,0.00,100.00
