,證券代號,證券名稱,本週股額(A),上週股額(B),增減數額(A-B),增減比率(A-B)/B,發行比率(%)
0,006201,元大富櫃50,"21,446","21,446",0,0.00,100.00
1,00679B,元大美債20年,"498,192","538,192",-40000,-7.43,100.00
2,00687B,國泰20年美債,"291,287","312,287",-21000,-6.72,100.00
3,00694B,富邦美債1-3,"197,576","197,576",0,0.00,100.00
4,00695B,富邦美債7-10,"9,186","8,686",500,5.75,100.00
5,00696B,富邦美債20年,"284,681","319,681",-35000,-10.94,100.00
6,00697B,元大美債7-10,"5,712","5,712",0,0.00,100.00
7,00718B,富邦中國政策債,"1,144,001","1,144,001",0,0.00,100.00
8,00719B,元大美債1-3,"603,014","603,014",0,0.00,100.00
9,00720B,元大投資級公司債,"525,609","521,609","4,000",0.76,100.00
10,00721B,元大中國債3-5,"458,122","458,122",0,0.00,100.00
11,00722B,群益IG電信債,"538,239","538,239",0,0.00,100.00
12,00723B,群益IG科技債,"771,083","771,083",0,0.00,100.00
13,00724B,群益IG金融債,"1,304,275","1,322,275",-18000,-1.36,100.00
14,00725B,國泰投資級公司債,"608,706","592,206","16,500",2.78,100.00
15,00726B,國泰5Y+新興債,"1,023,489","1,023,489",0,0.00,100.00
16,00727B,國泰1-5Y高收債,"185,189","185,189",0,0.00,100.00
17,00734B,台新ＪＰＭ新興債,"31,979","31,979",0,0.00,100.00
18,00740B,富邦全球投等債,"392,971","392,971",0,0.00,100.00
19,00741B,富邦全球高收債,"17,628","17,628",0,0.00,100.00
20,00744B,國泰中國政金債5+,"1,028,228","1,040,228",-12000,-1.15,100.00
21,00745B,富邦中政債0-1,"5,516","5,516",0,0.00,100.00
22,00746B,富邦A級公司債,"1,154,464","1,186,464",-32000,-2.69,100.00
23,00747B,FH中國政策債,"824,500","824,500",0,0.00,100.00
24,00748B,凱基中國債3-10,"624,500","648,500",-24000,-3.70,100.00
25,00749B,凱基新興債10+,"840,000","840,000",0,0.00,100.00
26,00750B,凱基科技債10+,"184,000","204,000",-20000,-9.80,100.00
27,00751B,元大AAA至A公司債,"1,481,103","1,531,103",-50000,-3.26,100.00
28,00754B,群益AAA-AA公司債,"356,900","356,900",0,0.00,100.00
29,00755B,群益15年IG公用債,"129,230","86,730","42,500",49.00,100.00
30,00756B,群益15年EM主權債,"868,300","868,300",0,0.00,96.12
31,00758B,FH能源債,"20,525","20,525",0,0.00,100.00
