,證券代號,證券名稱,本週股額(A),上週股額(B),增減數額(A-B),增減比率(A-B)/B,發行比率(%)
0,006201,元大富櫃50,"21,446","21,446",0,0.00,100.00
1,00679B,元大美債20年,"584,192","626,192",-42000,-6.70,100.00
2,00687B,國泰20年美債,"407,787","433,287",-25500,-5.88,100.00
3,00694B,富邦美債1-3,"207,076","227,076",-20000,-8.80,100.00
4,00695B,富邦美債7-10,"8,186","8,186",0,0.00,100.00
5,00696B,富邦美債20年,"397,181","397,181",0,0.00,100.00
6,00697B,元大美債7-10,"5,712","5,212",500,9.59,100.00
7,00718B,富邦中國政策債,"1,144,001","1,196,001",-52000,-4.34,100.00
8,00719B,元大美債1-3,"617,014","716,514",-99500,-13.88,99.91
9,00720B,元大投資級公司債,"521,609","521,609",0,0.00,100.00
10,00721B,元大中國債3-5,"457,122","457,122",0,0.00,99.78
11,00722B,群益IG電信債,"449,739","461,239",-11500,-2.49,100.00
12,00723B,群益IG科技債,"772,583","772,583",0,0.00,100.00
13,00724B,群益IG金融債,"1,404,775","1,426,275",-21500,-1.50,100.00
14,00725B,國泰投資級公司債,"585,706","585,706",0,0.00,100.00
15,00726B,國泰5Y+新興債,"1,021,489","1,021,489",0,0.00,100.00
16,00727B,國泰1-5Y高收債,"185,189","184,189","1,000",0.54,100.00
17,00734B,台新ＪＰＭ新興債,"31,979","31,979",0,0.00,100.00
18,00740B,富邦全球投等債,"391,971","391,971",0,0.00,100.00
19,00741B,富邦全球高收債,"18,628","18,628",0,0.00,100.00
20,00744B,國泰中國政金債5+,"1,064,228","1,064,228",0,0.00,100.00
21,00745B,富邦中政債0-1,"5,516","5,516",0,0.00,100.00
22,00746B,富邦A級公司債,"1,218,464","1,198,464","20,000",1.66,100.00
23,00747B,FH中國政策債,"843,500","843,500",0,0.00,100.00
24,00748B,凱基中國債3-10,"658,500","658,500",0,0.00,100.00
25,00749B,凱基新興債10+,"782,500","768,500","14,000",1.82,100.00
26,00750B,凱基科技債10+,"214,500","206,500","8,000",3.87,100.00
27,00751B,元大AAA至A公司債,"1,663,103","1,624,103","39,000",2.40,100.00
28,00754B,群益AAA-AA公司債,"356,400","373,400",-17000,-4.55,100.00
29,00755B,群益15年IG公用債,"86,230","86,230",0,0.00,100.00
30,00756B,群益15年EM主權債,"791,300","832,300",-41000,-4.92,100.00
31,00758B,FH能源債,"20,525","20,525",0,0.00,100.00
32,00759B,FH製藥債,"54,025","54,025",0,0.00,100.00
33,00760B,FH新興企業債,"257,520","265,020",-7500,-2.82,100.00
34,00761B,國泰A級公司債,"1,465,589","1,475,589",-10000,-0.67,100.00
35,00764B,群益25年美債,"314,000","314,000",0,0.00,100.00
36,00765B,群益中國政金債,"15,000","15,000",0,0.00,100.00
37,00768B,FH20年美債,"37,600","37,600",0,0.00,100.00
38,00769B,FH中國信用債,"1,590","1,590",0,0.00,100.00
39,00772B,中信高評級公司債,"1,587,290","1,625,790",-38500,-2.36,99.34
40,00773B,中信優先金融債,"807,290","828,290",-21000,-2.53,100.00
41,00777B,凱基AAA至A公司債,"535,650","543,150",-7500,-1.38,100.00
42,00778B,凱基金融債20+,"376,650","376,650",0,0.00,100.00
43,00779B,凱基美債25+,"296,650","296,650",0,0.00,100.00
44,00780B,國泰A級金融債,"380,602","417,602",-37000,-8.86,100.00
45,00781B,國泰A級科技債,"22,336","22,336",0,0.00,100.00
46,00782B,國泰A級公用債,"41,467","41,467",0,0.00,100.00
47,00784B,富邦中國投等債,"19,493","19,493",0,0.00,100.00
48,00785B,富邦金融投等債,"279,966","279,966",0,0.00,100.00
49,00786B,元大10年IG銀行債,"10,066","10,066",0,0.00,100.00
50,00787B,元大10年IG醫療債,"16,806","16,806",0,0.00,100.00
51,00788B,元大10年IG電能債,"38,706","38,706",0,0.00,100.00
52,00789B,FH公司債A3,"98,100","98,100",0,0.00,100.00
53,00790B,FH次順位IG金融債,"2,100","2,100",0,0.00,100.00
54,00791B,FH美元信用債1-5Y,"355,100","355,100",0,0.00,100.00
55,00792B,群益A級公司債,"373,115","373,115",0,0.00,100.00
56,00793B,群益AAA-A醫療債,"5,026","5,026",0,0.00,100.00
57,00794B,群益7+中國政金債,"406,687","406,687",0,0.00,100.00
58,00795B,中信美國公債20年,"477,098","497,098",-20000,-4.02,100.00
59,00796B,中信中國債7-10,"107,970","107,970",0,0.00,100.00
60,00797B,中信中國美元IG債,736,736,0,0.00,100.00
61,00798B,國泰中企A級債7+,"3,571","4,571",-1000,-21.87,100.00
62,00799B,國泰A級醫療債,"17,036","17,036",0,0.00,100.00
63,00831B,新光美債1-3,"107,100","107,100",0,0.00,100.00
64,00832B,新光美債20+,"5,300","5,300",0,0.00,100.00
65,00833B,第一金美債20+,"5,081","5,081",0,0.00,100.00
66,00834B,第一金金融債10+,"34,698","34,698",0,0.00,100.00
67,00835B,第一金科技債10+,691,691,0,0.00,100.00
68,00836B,永豐10年A公司債,"118,541","118,541",0,0.00,91.50
69,00837B,永豐15年金融債,"1,041","1,041",0,0.00,100.00
70,00838B,永豐7-10年中國債,"43,691","43,691",0,0.00,100.00
71,00839B,凱基醫療保健債,"28,941","28,941",0,0.00,100.00
72,00840B,凱基IG精選15+,"34,931","34,931",0,0.00,100.00
73,00841B,凱基AAA-AA公司債,"33,940","33,940",0,0.00,100.00
74,00842B,台新美元銀行債,"40,267","40,267",0,0.00,100.00
75,00843B,台新中國政策債,"6,021","6,021",0,0.00,100.00
76,00844B,新光15年IG金融債,"44,175","44,175",0,0.00,100.00
77,00845B,富邦新興投等債,"55,051","55,051",0,0.00,100.00
78,00846B,富邦歐洲銀行債,"147,350","147,350",0,0.00,100.00
79,00847B,中信美國市政債,"13,305","13,305",0,0.00,100.00
80,00848B,中信新興亞洲債,"322,566","322,566",0,0.00,100.00
81,00849B,中信EM主權債0-5,"701,606","701,606",0,0.00,100.00
82,00853B,統一美債10年Aa-A,"4,634","4,634",0,0.00,100.00
83,00854B,富邦全球保險債,"1,954","1,954",0,0.00,100.00
84,00855B,富邦全球能源債,"1,683","1,683",0,0.00,100.00
85,00856B,永豐1-3年美公債,"19,292","19,292",0,0.00,100.00
86,00857B,永豐20年美公債,"20,268","20,268",0,0.00,100.00
87,00858 ,永豐美國500大,"556,374","556,374",0,0.00,100.00
88,00859B,群益0-1年美債,"12,511","12,511",0,0.00,100.00
89,00860B,群益1-5年IG債,"37,171","37,171",0,0.00,100.00
90,00862B,中信投資級公司債,"34,381","34,381",0,0.00,100.00
91,00863B,中信全球電信債,"41,464","41,464",0,0.00,100.00
92,00864B,中信美國公債0-1,"27,722","27,722",0,0.00,100.00
93,00867B,新光A-BBB電信債,"38,650","42,150",-3500,-8.30,100.00
94,00868B,FT1-3年美公債,"6,324","6,324",0,0.00,100.00
95,00869B,FT10-25年公司債,"5,282","5,782",-500,-8.64,100.00
96,00870B,元大15年EM主權債,"59,651","59,651",0,0.00,100.00
97,00871B,元大中國政金債,"3,570","3,570",0,0.00,100.00
98,00872B,凱基美債1-3,"5,110","5,110",0,0.00,100.00
99,00873B,凱基新興債1-5,"2,377","2,377",0,0.00,100.00
100,00874B,凱基BBB公司債15+,"16,290","16,290",0,0.00,100.00
101,020001,富邦存股雙十N,"40,000","40,000",0,0.00,100.00
102,020003,統一漲升股利150N,"20,000","20,000",0,0.00,100.00
103,020009,群益A50綠碳N,"10,000","10,000",0,0.00,100.00
104,020010,永昌富櫃200N,"20,000","20,000",0,0.00,100.00
105,020013,元富亞洲高股息N,"20,000","20,000",0,0.00,100.00
106,020014,元大富櫃200N,"60,000","60,000",0,0.00,100.00
107,1240  ,茂生農經,"33,990","33,990",0,0.00,100.00
108,1258  ,其祥-KY,"36,819","36,819",0,0.00,100.00
109,12582 ,其祥二KY,"2,999","2,999",0,0.00,99.96
110,1259  ,安心,"32,389","32,389",0,0.00,100.00
111,1264  ,德麥,"33,695","33,695",0,0.00,100.00
112,1268  ,漢來美食,"37,723","37,723",0,0.00,100.00
113,13163 ,上曜三,"4,556","4,556",0,0.00,91.12
114,1333  ,恩得利,"51,060","51,060",0,0.00,100.00
115,1336  ,台翰,"77,098","85,098",-8000,-9.40,100.00
116,14361 ,華友聯一,"3,000","3,000",0,0.00,100.00
117,14423 ,名軒三,"6,400","6,400",0,0.00,80.00
118,14721 ,三洋紡一,"2,889","2,889",0,0.00,96.30
119,15131 ,中興電一,"15,000","15,000",0,0.00,100.00
120,15302 ,亞崴二,807,807,0,0.00,20.17
121,1565  ,精華,"50,416","50,416",0,0.00,100.00
122,1569  ,濱川,"113,443","113,443",0,0.00,100.00
123,15696 ,濱川六,"1,832","1,832",0,0.00,91.60
124,1570  ,力肯,"51,500","51,500",0,0.00,100.00
125,1580  ,新麥,"50,230","50,230",0,0.00,100.00
126,1584  ,精剛,"82,470","82,470",0,0.00,100.00
127,1586  ,和勤,"80,151","80,151",0,0.00,100.00
128,15892 ,永冠二KY,64,64,0,0.00,0.25
129,1591  ,駿吉-KY,"33,164","33,164",0,0.00,100.00
130,15921 ,英瑞一KY,"2,000","2,000",0,0.00,100.00
131,1593  ,祺驊,"31,948","31,948",0,0.00,100.00
132,1595  ,川寶,"47,148","47,148",0,0.00,100.00
133,1597  ,直得,"81,187","81,187",0,0.00,100.00
134,15981 ,岱宇一,"5,985","5,985",0,0.00,99.75
135,1599  ,宏佳騰,"73,458","73,458",0,0.00,100.00
136,16262 ,艾美特二KY,"4,432","4,432",0,0.00,88.64
137,16263 ,艾美特三KY,"3,000","3,000",0,0.00,100.00
138,17333 ,五鼎三,"3,918","3,918",0,0.00,97.95
139,1742  ,台蠟,"41,461","41,461",0,0.00,100.00
140,1752  ,南光,"100,988","100,988",0,0.00,100.00
141,1777  ,生泰,"30,059","30,059",0,0.00,100.00
142,1781  ,合世,"47,407","47,407",0,0.00,100.00
143,1784  ,訊聯,"49,626","49,626",0,0.00,100.00
144,1785  ,光洋科,"397,431","397,431",0,0.00,100.00
145,17861 ,科妍一,"3,000","3,000",0,0.00,100.00
146,1788  ,杏昌,"36,000","36,000",0,0.00,100.00
147,17881 ,杏昌一,"4,200","4,200",0,0.00,100.00
148,1796  ,金穎生技,"27,893","27,893",0,0.00,100.00
149,17961 ,金穎生技一,"3,000","3,000",0,0.00,100.00
150,1799  ,易威,"57,517","57,517",0,0.00,100.00
151,1813  ,寶利徠,"46,635","46,635",0,0.00,100.00
152,1815  ,富喬,"422,946","422,946",0,0.00,98.83
153,18155 ,富喬五,"6,000","6,000",0,0.00,100.00
154,20067 ,東和鋼鐵七,"20,000","20,000",0,0.00,100.00
155,20315 ,新光鋼五,"4,398","4,398",0,0.00,73.30
156,2035  ,唐榮,"350,000","350,000",0,0.00,100.00
157,2061  ,風青,"58,660","58,660",0,0.00,100.00
158,2063  ,世鎧,"45,000","45,000",0,0.00,100.00
159,20631 ,世鎧一,"3,000","3,000",0,0.00,100.00
160,2064  ,晉椿,"69,630","70,000",-370,-0.52,99.47
161,2065  ,世豐,"32,919","32,919",0,0.00,100.00
162,20651 ,世豐一,"3,888","3,888",0,0.00,97.20
163,2066  ,世德,"36,502","36,502",0,0.00,100.00
164,2067  ,嘉鋼,"45,138","45,138",0,0.00,100.00
165,20693 ,運錩三,"3,998","3,998",0,0.00,99.95
166,2070  ,精湛,"36,782","36,782",0,0.00,100.00
167,22081 ,台船一,"20,000","20,000",0,0.00,100.00
168,2221  ,大甲,"42,325","42,325",0,0.00,100.00
169,2230  ,泰茂,"39,913","39,913",0,0.00,100.00
170,2235  ,謚源,"35,878","35,878",0,0.00,100.00
171,22392 ,英利二KY,"4,000","4,000",0,0.00,100.00
172,22431 ,宏旭一KY,"3,589","3,589",0,0.00,89.72
173,233201,友訊Ｅ１,"2,953","2,953",0,0.00,24.60
174,23834 ,台光電四,"14,254","14,254",0,0.00,95.02
175,23936 ,億光六,"11,261","11,261",0,0.00,22.52
176,24064 ,國碩四,"12,000","12,000",0,0.00,100.00
177,24392 ,美律二,"22,895","22,895",0,0.00,76.31
178,24564 ,奇力新四,4,4,0,0.00,0.02
179,24565 ,奇力新五,"1,422","1,422",0,0.00,10.15
180,24566 ,奇力新六,"13,579","13,579",0,0.00,67.89
181,24663 ,冠西三,"3,000","3,000",0,0.00,100.00
182,24722 ,立隆電二,"6,000","6,000",0,0.00,100.00
183,25282 ,皇普二,"7,000","7,000",0,0.00,100.00
184,25355 ,達欣工五,"3,156","3,156",0,0.00,31.56
185,25391 ,櫻花建一,"2,000","2,000",0,0.00,100.00
186,25392 ,櫻花建二,"1,497","1,691",-194,-11.47,51.26
187,25425 ,興富發五,"99,999","99,999",0,0.00,99.99
188,2596  ,綠意,"100,000","100,000",0,0.00,100.00
189,26095 ,陽明五,"76,000","76,000",0,0.00,100.00
190,26106 ,華航六,"60,000","60,000",0,0.00,100.00
191,26183 ,長榮航三,"65,489","65,489",0,0.00,93.55
192,26301 ,亞航一,"2,000","2,000",0,0.00,100.00
193,26302 ,亞航二,"3,000","3,000",0,0.00,100.00
194,26372 ,慧洋二KY,"3,972","3,972",0,0.00,99.30
195,26373 ,慧洋三KY,"1,010","1,010",0,0.00,12.62
196,2640  ,大車隊,"53,755","53,755",0,0.00,100.00
197,2641  ,正德,"151,124","151,124",0,0.00,100.00
198,26413 ,正德三,"2,500","2,500",0,0.00,100.00
199,26414 ,正德四,"1,408","1,550",-142,-9.16,46.93
200,2643  ,捷迅,"30,000","30,000",0,0.00,100.00
201,27072 ,晶華二,"13,828","13,828",0,0.00,92.18
202,2718  ,晶悅,"42,576","42,576",0,0.00,100.00
203,2719  ,燦星旅,"18,272","18,272",0,0.00,100.00
204,2724  ,富驛-KY,"38,172","38,172",0,0.00,100.00
205,2726  ,雅茗-KY,"34,908","34,908",0,0.00,100.00
206,2729  ,瓦城,"23,266","23,266",0,0.00,100.00
207,27291 ,瓦城一,"8,000","8,000",0,0.00,100.00
208,2732  ,六角,"40,642","40,633",9,0.02,100.00
209,27322 ,六角二,"3,327","3,327",0,0.00,73.93
210,2734  ,易飛網,"30,259","30,259",0,0.00,100.00
211,2736  ,高野,"48,992","48,992",0,0.00,100.00
212,2740  ,天蔥,"8,692","8,692",0,0.00,100.00
213,2743  ,山富,"32,031","32,031",0,0.00,100.00
214,2745  ,五福,"29,308","29,308",0,0.00,100.00
215,27481 ,雲品一,"8,000","8,000",0,0.00,100.00
216,2752  ,豆府,"21,872","21,872",0,0.00,100.00
217,28885 ,新光金四,"15,039","15,039",0,0.00,37.59
218,28886 ,新光金五,"50,000","50,000",0,0.00,100.00
219,2916  ,滿心,"54,626","54,626",0,0.00,100.00
220,2924  ,東凌-KY,"32,805","32,805",0,0.00,100.00
221,2926  ,誠品生活,"47,389","47,389",0,0.00,100.00
222,2928  ,紅馬-KY,"47,301","47,301",0,0.00,100.00
223,2937  ,集雅社,"32,860","32,860",0,0.00,100.00
224,30163 ,嘉晶三,"6,000","6,000",0,0.00,100.00
225,30183 ,同開三,892,892,0,0.00,44.60
226,30366 ,文曄六,"11,147","11,147",0,0.00,92.89
227,30453 ,台灣大三,"9,283","9,283",0,0.00,9.28
228,3064  ,泰偉,"72,105","72,105",0,0.00,100.00
229,3066  ,李洲,"77,570","77,570",0,0.00,100.00
230,3067  ,全域,"29,025","29,025",0,0.00,100.00
231,3071  ,協禧,"110,000","110,000",0,0.00,100.00
232,3073  ,凱柏,"12,596","12,596",0,0.00,100.00
233,3078  ,僑威,"227,391","227,391",0,0.00,100.00
234,3081  ,聯亞,"90,932","90,932",0,0.00,100.00
235,3083  ,網龍,"85,704","85,704",0,0.00,100.00
236,3085  ,新零售,"49,004","49,004",0,0.00,100.00
237,3086  ,華義,"6,836","6,836",0,0.00,100.00
238,3088  ,艾訊,"82,041","82,041",0,0.00,100.00
239,30881 ,艾訊一,"3,131","3,131",0,0.00,74.54
240,3089  ,元炬,"29,620","29,620",0,0.00,100.00
241,3092  ,鴻碩,"74,562","74,562",0,0.00,100.00
242,3093  ,港建,"36,288","36,288",0,0.00,100.00
243,3095  ,及成,"90,060","90,060",0,0.00,100.00
244,3105  ,穩懋,"404,056","404,056",0,0.00,100.00
245,3114  ,好德,"56,000","56,000",0,0.00,100.00
246,3115  ,寶島極,"20,697","20,697",0,0.00,100.00
247,3118  ,進階,"32,452","32,452",0,0.00,100.00
248,3122  ,笙泉,"39,299","39,299",0,0.00,100.00
249,3128  ,昇銳,"42,000","42,000",0,0.00,100.00
250,3131  ,弘塑,"29,216","29,216",0,0.00,100.00
