,證券代號,證券名稱,本週股額(A),上週股額(B),增減數額(A-B),增減比率(A-B)/B,發行比率(%)
253,3147  ,大綜,"34,006","34,006",0,0.00,100.00
254,3152  ,璟德,"69,016","69,016",0,0.00,100.00
255,3162  ,精確,"56,531","56,531",0,0.00,100.00
256,3163  ,波若威,"75,286","75,286",0,0.00,100.00
257,3169  ,亞信,"54,440","54,440",0,0.00,100.00
258,3171  ,新洲,"39,203","39,203",0,0.00,100.00
259,3176  ,基亞,"138,985","138,985",0,0.00,100.00
260,3178  ,公準,"45,050","45,050",0,0.00,100.00
261,3188  ,鑫龍騰,"120,295","120,295",0,0.00,100.00
262,31881 ,鑫龍騰一,"3,000","3,000",0,0.00,100.00
263,3191  ,和進,"54,694","54,694",0,0.00,100.00
264,3202  ,樺晟,"117,164","117,164",0,0.00,100.00
265,3205  ,佰研,"32,772","32,772",0,0.00,100.00
266,3206  ,志豐,"53,916","53,916",0,0.00,100.00
267,3207  ,耀勝,"39,520","39,520",0,0.00,100.00
268,32093 ,全科三,"1,607","1,607",0,0.00,53.56
269,3211  ,順達科,"147,480","147,480",0,0.00,100.00
270,3213  ,茂訊,"58,685","58,685",0,0.00,100.00
271,3217  ,優群,"82,104","82,104",0,0.00,100.00
272,3218  ,大學光,"76,123","76,123",0,0.00,100.00
273,3219  ,倚強,"10,723","10,723",0,0.00,100.00
274,3221  ,台嘉碩,"96,304","96,304",0,0.00,100.00
275,3224  ,三顧,"58,016","58,016",0,0.00,100.00
276,32243 ,三顧三,"1,500","1,500",0,0.00,100.00
277,3226  ,至寶電,"64,430","64,430",0,0.00,100.00
278,3227  ,原相,"139,407","139,362",45,0.03,100.00
279,3228  ,金麗科,"62,758","62,758",0,0.00,100.00
280,3230  ,錦明,"107,746","107,746",0,0.00,100.00
281,3232  ,昱捷,"36,567","36,567",0,0.00,100.00
282,3234  ,光環,"75,988","75,988",0,0.00,100.00
283,3236  ,千如,"84,852","84,852",0,0.00,100.00
284,3252  ,海灣,"50,195","50,195",0,0.00,100.00
285,3259  ,鑫創,"67,633","67,633",0,0.00,100.00
286,3260  ,威剛,"227,518","227,518",0,0.00,100.00
287,32606 ,威剛六,"10,932","10,932",0,0.00,72.88
288,3264  ,欣銓,"490,259","490,259",0,0.00,100.00
289,3265  ,台星科,"136,261","136,261",0,0.00,100.00
290,3268  ,海德威,"33,426","33,426",0,0.00,100.00
291,3272  ,東碩,"52,264","52,264",0,0.00,100.00
292,32722 ,東碩二,"4,000","4,000",0,0.00,100.00
293,3276  ,宇環,"69,712","69,712",0,0.00,100.00
294,3284  ,太普高,"55,961","55,961",0,0.00,100.00
295,3285  ,微端,"44,109","44,109",0,0.00,100.00
296,3287  ,廣寰科,"43,970","43,970",0,0.00,100.00
297,3288  ,點晶,"19,390","19,390",0,0.00,100.00
298,3289  ,宜特,"92,975","92,975",0,0.00,100.00
299,32895 ,宜特五,"14,781","14,781",0,0.00,98.54
300,3290  ,東浦,"99,548","99,548",0,0.00,100.00
301,3293  ,鈊象,"70,450","70,450",0,0.00,100.00
302,3294  ,英濟,"132,015","132,015",0,0.00,100.00
303,3297  ,杭特,"36,839","36,839",0,0.00,100.00
304,3303  ,岱稜,"96,089","96,089",0,0.00,100.00
305,3306  ,鼎天,"50,607","50,607",0,0.00,100.00
306,3310  ,佳穎,"50,225","50,225",0,0.00,100.00
307,3313  ,斐成,"60,390","60,390",0,0.00,100.00
308,3317  ,尼克森,"61,251","61,251",0,0.00,100.00
309,3322  ,建舜電,"96,651","96,651",0,0.00,100.00
310,3323  ,加百裕,"83,305","83,305",0,0.00,100.00
311,3324  ,雙鴻,"86,545","86,545",0,0.00,100.00
312,33243 ,雙鴻三,"2,385","2,385",0,0.00,39.75
313,3325  ,旭品,"72,252","72,252",0,0.00,100.00
314,3332  ,幸康,"48,104","48,104",0,0.00,100.00
315,33382 ,泰碩二,"2,488","2,488",0,0.00,82.93
316,3339  ,泰谷,"61,943","61,943",0,0.00,100.00
317,33461 ,麗清一,63,63,0,0.00,0.90
318,33462 ,麗清二,"3,500","3,500",0,0.00,100.00
319,3354  ,律勝,"70,112","70,112",0,0.00,100.00
320,3360  ,尚立,"68,831","68,831",0,0.00,100.00
321,3362  ,先進光,"111,545","111,545",0,0.00,100.00
322,3363  ,上詮,"90,595","90,595",0,0.00,100.00
323,33632 ,上詮二,493,493,0,0.00,12.32
324,3372  ,典範,"146,087","146,087",0,0.00,100.00
325,3373  ,熱映,"43,289","43,289",0,0.00,100.00
326,3374  ,精材,"271,364","271,364",0,0.00,100.00
327,3379  ,彬台,"38,041","38,041",0,0.00,100.00
328,3388  ,崇越電,"74,061","74,061",0,0.00,100.00
329,3390  ,旭軟,"67,505","67,505",0,0.00,100.00
330,3402  ,漢科,"73,047","73,047",0,0.00,100.00
331,34131 ,京鼎一,"10,000","10,000",0,0.00,100.00
332,3426  ,台興,"26,400","26,400",0,0.00,100.00
333,3434  ,哲固,"22,700","22,700",0,0.00,100.00
334,3438  ,類比科,"67,379","67,379",0,0.00,100.00
335,3441  ,聯一光,"40,039","40,039",0,0.00,100.00
336,3444  ,利機,"39,114","39,114",0,0.00,100.00
337,3455  ,由田,"61,468","61,468",0,0.00,100.00
338,3465  ,進泰電子,"9,660","9,660",0,0.00,100.00
339,3466  ,致振,"60,887","60,887",0,0.00,100.00
340,3479  ,安勤,"70,194","70,194",0,0.00,100.00
341,3483  ,力致,"61,027","61,027",0,0.00,100.00
342,34832 ,力致二,"2,000","2,000",0,0.00,100.00
343,3484  ,崧騰,"69,736","69,736",0,0.00,100.00
344,3489  ,森寶,"83,130","83,130",0,0.00,100.00
345,3490  ,單井,"57,006","57,006",0,0.00,100.00
346,3491  ,昇達科,"60,851","60,851",0,0.00,100.00
347,3492  ,長盛,"35,531","35,531",0,0.00,100.00
348,3498  ,陽程,"54,373","54,373",0,0.00,100.00
349,3499  ,環天科,"54,970","54,970",0,0.00,100.00
350,3508  ,位速,"97,315","97,315",0,0.00,100.00
351,3511  ,矽瑪,"49,972","49,972",0,0.00,100.00
352,3512  ,皇龍,"44,000","44,000",0,0.00,100.00
353,3516  ,亞帝歐,"50,590","50,590",0,0.00,100.00
354,3520  ,振維,"26,900","26,900",0,0.00,100.00
355,3521  ,鴻翊,"31,730","31,730",0,0.00,100.00
356,3522  ,御頂,"46,900","46,900",0,0.00,100.00
357,3523  ,迎輝,"48,049","48,049",0,0.00,100.00
358,3526  ,凡甲,"72,047","72,047",0,0.00,100.00
359,35264 ,凡甲四,"6,000","6,000",0,0.00,100.00
360,3527  ,聚積,"40,945","40,945",0,0.00,100.00
361,3529  ,力旺,"75,833","75,833",0,0.00,100.00
362,3531  ,先益,"61,175","61,175",0,0.00,100.00
363,3537  ,堡達,"48,695","48,695",0,0.00,100.00
364,3540  ,曜越,"66,613","66,613",0,0.00,100.00
365,3541  ,西柏,"49,321","49,321",0,0.00,100.00
366,3546  ,宇峻,"41,747","41,747",0,0.00,100.00
367,3548  ,兆利,"60,121","60,121",0,0.00,100.00
368,3551  ,世禾,"56,774","56,774",0,0.00,100.00
369,3552  ,同致,"85,592","85,592",0,0.00,100.00
370,3555  ,重鵬,"19,311","19,311",0,0.00,100.00
371,3556  ,禾瑞亞,"59,468","59,468",0,0.00,100.00
372,3558  ,神準,"49,060","49,060",0,0.00,100.00
373,3564  ,其陽,"23,123","23,123",0,0.00,100.00
374,3567  ,逸昌,"34,127","34,127",0,0.00,100.00
375,3570  ,大塚,"17,097","17,097",0,0.00,100.00
376,3577  ,泓格,"52,864","52,864",0,0.00,100.00
377,3580  ,友威科,"39,470","39,470",0,0.00,100.00
378,3581  ,博磊,"51,006","51,006",0,0.00,100.00
379,3587  ,閎康,"62,313","62,313",0,0.00,100.00
380,3594  ,磐儀,"57,733","57,733",0,0.00,100.00
381,35942 ,磐儀二,"1,173","1,173",0,0.00,58.65
382,35943 ,磐儀三,"3,000","3,000",0,0.00,100.00
383,35961 ,智易一,"10,000","10,000",0,0.00,100.00
384,3597  ,映興,"35,146","35,146",0,0.00,100.00
385,3609  ,東林,"30,339","30,339",0,0.00,100.00
386,3611  ,鼎翰,"42,476","42,476",0,0.00,100.00
387,3615  ,安可,"68,466","68,466",0,0.00,100.00
388,36171 ,碩天一,"12,000","12,000",0,0.00,100.00
389,3623  ,富晶通,"29,263","29,263",0,0.00,100.00
390,3624  ,光頡,"117,340","117,340",0,0.00,100.00
391,3625  ,西勝,"78,296","78,296",0,0.00,100.00
392,36252 ,西勝二,"4,000","4,000",0,0.00,100.00
393,3628  ,盈正,"45,000","45,000",0,0.00,100.00
394,3629  ,地心引力,"7,434","7,434",0,0.00,100.00
395,3630  ,新鉅科,"128,040","128,040",0,0.00,100.00
396,3631  ,晟楠,"79,920","79,920",0,0.00,100.00
397,3632  ,研勤,"58,089","58,089",0,0.00,100.00
398,3642  ,駿熠電,"30,368","30,368",0,0.00,100.00
399,3646  ,艾恩特,"39,297","39,297",0,0.00,100.00
400,3652  ,精聯,"47,097","47,097",0,0.00,100.00
401,3663  ,鑫科,"58,956","58,956",0,0.00,100.00
402,3664  ,安瑞-KY,"51,098","51,098",0,0.00,100.00
403,3666  ,光耀,"48,299","48,299",0,0.00,100.00
404,3672  ,康聯訊,"33,168","33,168",0,0.00,100.00
405,3675  ,德微,"44,428","44,428",0,0.00,100.00
406,3680  ,家登,"74,060","74,060",0,0.00,100.00
407,36802 ,家登二,"3,000","3,000",0,0.00,100.00
408,3684  ,榮昌,"24,591","24,591",0,0.00,100.00
409,3685  ,元創精密,"79,990","79,990",0,0.00,100.00
410,3687  ,歐買尬,"30,059","30,059",0,0.00,100.00
411,3689  ,湧德,"69,675","69,675",0,0.00,100.00
412,36892 ,湧德二,"2,913","2,913",0,0.00,97.10
413,3691  ,碩禾,"60,989","60,989",0,0.00,100.00
414,36912 ,碩禾二,"18,790","18,790",0,0.00,93.95
415,3693  ,營邦,"38,490","38,490",0,0.00,100.00
416,3707  ,漢磊,"296,036","296,036",0,0.00,100.00
417,37072 ,漢磊二,"4,515","4,515",0,0.00,60.20
418,3709  ,鑫聯大投控,"79,569","79,569",0,0.00,100.00
419,3710  ,連展投控,"207,290","207,290",0,0.00,100.00
420,37101 ,連展投控一,"3,000","3,000",0,0.00,100.00
421,3713  ,新晶投控,"72,590","72,590",0,0.00,100.00
422,4102  ,永日,"42,373","42,373",0,0.00,100.00
423,4105  ,東洋,"248,649","248,649",0,0.00,100.00
424,4107  ,邦特,"69,298","69,298",0,0.00,100.00
425,4109  ,加捷生醫,"67,134","67,134",0,0.00,100.00
426,4111  ,濟生,"56,982","56,982",0,0.00,100.00
427,4113  ,聯上,"211,138","211,138",0,0.00,100.00
428,4114  ,健喬,"244,168","244,168",0,0.00,100.00
429,4116  ,明基醫,"44,566","44,566",0,0.00,100.00
430,4120  ,友華,"86,747","86,747",0,0.00,100.00
431,4121  ,優盛,"73,316","73,316",0,0.00,100.00
432,4123  ,晟德,"391,727","391,727",0,0.00,100.00
433,41233 ,晟德三,"7,504","7,504",0,0.00,22.07
