,證券代號,證券名稱,本週股額(A),上週股額(B),增減數額(A-B),增減比率(A-B)/B,發行比率(%)
0,006201,元大富櫃50,"20,946","21,446",-500,-2.33,100.00
1,00679B,元大美債20年,"395,192","394,192","1,000",0.25,100.00
2,00687B,國泰20年美債,"289,787","261,787","28,000",10.69,100.00
3,00694B,富邦美債1-3,"190,076","190,076",0,0.00,100.00
4,00695B,富邦美債7-10,"9,186","9,186",0,0.00,100.00
5,00696B,富邦美債20年,"586,181","442,181","144,000",32.56,93.76
6,00697B,元大美債7-10,"5,712","5,712",0,0.00,100.00
7,00718B,富邦中國政策債,"1,145,001","1,144,501",500,0.04,100.00
8,00719B,元大美債1-3,"600,514","601,514",-1000,-0.16,100.00
9,00720B,元大投資級公司債,"538,109","503,609","34,500",6.85,100.00
10,00721B,元大中國債3-5,"459,122","459,122",0,0.00,100.00
11,00722B,群益IG電信債,"620,239","622,239",-2000,-0.32,100.00
12,00723B,群益IG科技債,"765,583","765,583",0,0.00,100.00
13,00724B,群益IG金融債,"1,228,775","1,228,775",0,0.00,100.00
14,00725B,國泰投資級公司債,"610,706","610,706",0,0.00,100.00
15,00726B,國泰5Y+新興債,"1,064,489","1,044,489","20,000",1.91,99.95
16,00727B,國泰1-5Y高收債,"184,189","184,189",0,0.00,100.00
17,00734B,台新ＪＰＭ新興債,"31,979","31,979",0,0.00,100.00
18,00740B,富邦全球投等債,"429,971","429,971",0,0.00,100.00
19,00741B,富邦全球高收債,"17,628","17,628",0,0.00,100.00
20,00744B,國泰中國政金債5+,"1,027,228","1,027,728",-500,-0.04,100.00
21,00745B,富邦中政債0-1,"4,016","5,516",-1500,-27.19,100.00
22,00746B,富邦A級公司債,"979,464","990,464",-11000,-1.11,100.00
23,00747B,FH中國政策債,"824,500","824,500",0,0.00,100.00
24,00748B,凱基中國債3-10,"624,000","624,000",0,0.00,100.00
25,00749B,凱基新興債10+,"917,500","864,500","53,000",6.13,100.00
26,00750B,凱基科技債10+,"131,000","163,000",-32000,-19.63,77.28
27,00751B,元大AAA至A公司債,"1,193,103","1,254,603",-61500,-4.90,100.00
28,00754B,群益AAA-AA公司債,"349,400","349,400",0,0.00,100.00
29,00755B,群益15年IG公用債,"196,730","196,730",0,0.00,100.00
30,00756B,群益15年EM主權債,"993,300","965,300","28,000",2.90,100.00
31,00758B,FH能源債,"5,525","20,525",-15000,-73.08,100.00
32,00759B,FH製藥債,"55,025","55,025",0,0.00,100.00
33,00760B,FH新興企業債,"320,020","305,020","15,000",4.91,99.84
34,00761B,國泰A級公司債,"1,181,089","1,206,089",-25000,-2.07,100.00
35,00764B,群益25年美債,"445,000","387,500","57,500",14.83,100.00
36,00765B,群益中國政金債,"3,000","3,000",0,0.00,100.00
37,00768B,FH20年美債,"8,100","8,100",0,0.00,100.00
38,00772B,中信高評級公司債,"1,516,790","1,518,290",-1500,-0.09,100.00
39,00773B,中信優先金融債,"629,790","566,790","63,000",11.11,100.00
40,00777B,凱基AAA至A公司債,"367,150","397,150",-30000,-7.55,100.00
41,00778B,凱基金融債20+,"239,150","219,650","19,500",8.87,100.00
42,00779B,凱基美債25+,"139,650","139,650",0,0.00,100.00
43,00780B,國泰A級金融債,"308,102","307,602",500,0.16,99.67
44,00781B,國泰A級科技債,"19,336","19,336",0,0.00,100.00
45,00782B,國泰A級公用債,"27,467","27,467",0,0.00,100.00
46,00784B,富邦中國投等債,"3,993","3,993",0,0.00,100.00
47,00785B,富邦金融投等債,"312,966","291,966","21,000",7.19,100.00
48,00786B,元大10年IG銀行債,"9,566","10,066",-500,-4.96,100.00
49,00787B,元大10年IG醫療債,"16,806","16,806",0,0.00,100.00
50,00788B,元大10年IG電能債,"38,706","38,706",0,0.00,100.00
51,00789B,FH公司債A3,"65,600","65,600",0,0.00,100.00
52,00790B,FH次順位IG金融債,"2,100","2,100",0,0.00,100.00
53,00791B,FH美元信用債1-5Y,"355,100","355,100",0,0.00,100.00
54,00792B,群益A級公司債,"311,115","311,115",0,0.00,100.00
55,00793B,群益AAA-A醫療債,"4,526","4,526",0,0.00,100.00
56,00794B,群益7+中國政金債,"381,687","381,687",0,0.00,100.00
57,00795B,中信美國公債20年,"404,098","299,598","104,500",34.88,96.76
58,00796B,中信中國債7-10,"107,970","107,970",0,0.00,100.00
59,00798B,國泰中企A級債7+,"1,071","1,071",0,0.00,100.00
60,00799B,國泰A級醫療債,"12,036","12,036",0,0.00,100.00
61,00831B,新光美債1-3,"107,100","107,100",0,0.00,100.00
62,00832B,新光美債20+,"5,300","5,300",0,0.00,100.00
63,00833B,第一金美債20+,"5,081","5,081",0,0.00,100.00
64,00834B,第一金金融債10+,"30,198","30,198",0,0.00,100.00
65,00835B,第一金科技債10+,691,691,0,0.00,100.00
66,00836B,永豐10年A公司債,"234,541","234,541",0,0.00,100.00
67,00837B,永豐15年金融債,"1,041","1,041",0,0.00,100.00
68,00838B,永豐7-10年中國債,"16,691","16,691",0,0.00,100.00
69,00839B,凱基醫療保健債,"32,941","32,941",0,0.00,100.00
70,00840B,凱基IG精選15+,"32,431","32,431",0,0.00,100.00
71,00841B,凱基AAA-AA公司債,"33,940","33,940",0,0.00,100.00
72,00842B,台新美元銀行債,"32,767","32,767",0,0.00,100.00
73,00843B,台新中國政策債,"6,021","6,021",0,0.00,100.00
74,00844B,新光15年IG金融債,"41,175","41,175",0,0.00,100.00
75,00845B,富邦新興投等債,"54,551","54,551",0,0.00,100.00
76,00846B,富邦歐洲銀行債,"111,350","111,350",0,0.00,100.00
77,00847B,中信美國市政債,"14,805","14,805",0,0.00,100.00
78,00848B,中信新興亞洲債,"390,566","378,566","12,000",3.16,100.00
79,00849B,中信EM主權債0-5,"704,606","704,606",0,0.00,100.00
80,00853B,統一美債10年Aa-A,"4,634","4,634",0,0.00,100.00
81,00854B,富邦全球保險債,454,454,0,0.00,100.00
82,00855B,富邦全球能源債,683,683,0,0.00,100.00
83,00856B,永豐1-3年美公債,"19,292","19,292",0,0.00,100.00
84,00857B,永豐20年美公債,"7,768","7,768",0,0.00,100.00
85,00858 ,永豐美國500大,"531,374","531,374",0,0.00,100.00
